ID,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
3267,527,0,21,0,0,60
999,490,44,125,29,20,22
9215,378,0,101,0,0,72
2286,64,1,21,0,1,27
1592,547,99,812,151,82,33
367,47,90,94,123,103,120
5234,12,5,25,0,9,30
9862,1,6,7,11,5,3
9805,320,48,133,39,72,48
6205,34,3,29,0,4,10
8442,9,0,7,3,4,7
7386,17,0,14,7,3,2
7215,722,27,102,44,72,168
1491,162,33,124,40,28,172
11071,450,133,951,173,0,216
3381,70,0,16,0,0,4
8268,352,0,27,10,0,15
11051,492,19,110,16,12,12
8026,120,58,73,65,89,58
433,534,5,47,0,5,41
9597,236,106,189,23,41,130
1295,231,65,196,38,71,124
5290,220,0,33,3,0,23
1685,796,14,590,38,44,0
5342,0,1,3,10,6,9
9579,53,1,34,2,0,16
7660,15,0,8,4,2,20
1461,17,1,12,3,1,4
821,962,61,921,52,61,20
11084,738,0,232,13,20,50
8690,399,28,756,36,40,126
2937,614,16,132,43,33,33
9701,32,34,41,73,16,116
9949,598,16,141,32,41,49
10837,2,1,18,20,11,16
3120,6,1,10,0,1,4
5885,73,3,90,12,1,32
4050,42,16,29,12,20,8
3830,295,21,78,39,13,13
7987,346,17,48,23,13,13
7798,233,20,57,8,20,91
92,5,7,24,19,14,20
7055,888,0,57,0,0,76
10240,997,26,269,34,13,42
3025,212,6,69,4,12,3
9283,8,1,7,2,0,0
9970,42,11,57,10,28,14
2730,536,11,387,149,91,57
2795,5,0,3,0,0,5
9260,1349,16,249,43,16,33
8182,53,3,49,7,4,5
10095,1001,12,240,16,12,12
8475,20,2,1582,1,2,1
4370,18,1,32,6,3,28
10573,125,16,98,134,21,27
3712,212,5,33,7,0,2
6637,277,162,305,173,76,124
3152,15,10,19,8,17,20
5610,7,3,10,8,1,7
6460,12,4,6,11,8,16
1349,85,7,24,2,3,27
1880,81,0,6,0,0,6
641,59,0,12,0,0,48
8717,1149,71,449,69,71,26
10314,847,66,119,86,89,111
10854,29,0,14,0,0,2
10492,2,0,5,2,0,1
6935,207,26,447,75,0,223
7698,152,3,22,2,5,7
3559,12,11,10,3,12,9
10562,620,26,195,34,17,141
10796,47,1,6,0,0,12
2563,1,9,7,2,14,10
3518,10,1,18,10,4,7
5823,35,0,2,0,0,2
3934,356,0,107,19,9,117
6982,783,30,537,140,76,15
6431,42,1,18,3,0,4
9733,1,4,10,29,0,36
5602,466,22,432,147,113,102
7829,15,6,8,7,4,25
1324,23,3,21,3,19,22
326,235,6,45,8,9,12
7224,10,0,10,3,1,7
6999,656,16,106,32,16,8
9938,519,17,813,27,173,51
6422,344,189,482,50,33,172
3182,96,1,79,7,1,79
7300,448,4,34,6,4,39
10424,265,138,553,224,23,92
8727,587,43,337,42,87,54
2798,763,29,138,76,176,58
1030,22,0,13,0,0,3
624,6,4,1,7,2,15
5176,7,6,13,7,6,14
5552,81,18,113,47,13,21
868,54,0,7,0,0,4
380,1170,48,320,42,32,192
2677,72,24,68,65,4,8
6521,613,22,319,33,102,12
6927,224,0,30,0,0,10
2877,410,0,59,19,9,44
0,239,10,554,254,87,54
1584,171,7,171,25,19,89
7264,12,0,4,0,0,1
6274,1076,16,417,42,48,16
1377,182,4,33,0,0,66
454,824,32,162,42,32,43
1755,30,11,25,29,1,18
2075,377,10,540,80,30,10
4785,520,7,154,19,0,14
9076,155,1,25,0,1,3
7079,897,23,207,15,11,92
4653,131,0,16,2,1,39
7375,297,7,79,0,11,182
709,787,20,204,0,0,92
460,792,86,740,67,51,17
3726,4,1,9,3,0,0
6798,231,7,137,4,15,39
5341,983,76,184,180,138,27
1606,3,1,8,4,3,3
9617,0,4,5,6,0,4
3233,562,21,464,28,10,32
89,5,9,20,6,8,21
2936,18,0,4,0,0,1
9449,415,5,124,15,35,11
7297,5,3,10,12,7,20
11004,8,0,5,7,0,2
313,901,61,757,186,163,20
9940,382,114,276,75,124,38
10735,14,1,7,2,1,1
9529,559,153,503,218,13,181
6439,789,0,133,0,28,152
7411,11,0,5,0,0,1
2176,1218,16,272,104,0,80
9265,925,64,179,133,12,77
8867,864,134,768,150,38,172
8932,960,28,183,220,70,70
10236,16,3,25,6,1,13
6340,3,3,7,0,2,11
10089,168,148,444,32,172,148
2227,45,47,52,21,20,25
10992,650,28,353,45,42,30
5304,24,0,8,0,0,1
309,918,21,118,13,10,21
3406,138,33,87,28,24,12
2661,12,4,2,10,6,10
3153,11,0,4,0,0,2
10264,1,2,8,4,3,13
1184,554,41,215,11,0,24
4200,167,2,62,24,13,7
9396,9,0,6,4,1,5
2387,177,2,71,3,2,20
6690,38,4,22,4,2,20
1225,483,84,398,205,84,241
9703,77,2,35,0,1,69
291,182,74,298,162,149,116
4557,10,7,19,8,2,21
2379,778,44,499,95,73,146
5726,16,7,23,0,8,6
3066,167,0,43,6,2,13
6336,13,2,14,8,7,4
10967,33,6,40,3,7,10
2304,625,7,99,10,22,7
3445,216,162,224,101,92,162
7828,68,129,396,188,22,15
3762,196,0,512,33,130,54
4391,635,15,100,20,7,131
4669,4,19,9,28,25,17
10144,297,7,79,0,11,182
8652,84,5,38,150,12,28
1672,204,7,149,20,15,66
8962,26,0,8,0,0,3
9974,15,6,20,4,5,20
10983,304,98,230,150,74,74
8148,285,28,242,55,114,135
10102,395,183,565,166,141,28
4697,248,3,81,4,3,51
9262,20,6,5,0,9,12
7254,39,0,56,20,8,14
4543,777,129,573,216,21,203
4927,8,3,22,21,1,13
10451,9,1,3,0,4,8
2926,1241,0,80,0,13,40
2874,6,4,7,4,3,8
9738,65,4,16,0,4,11
7119,395,15,263,60,54,38
3924,801,0,80,0,0,35
5827,36,0,12,2,2,10
5596,513,14,154,19,0,28
10812,37,0,46,4,3,0
1717,80,15,93,20,13,52
9491,14,1,21,2,3,25
9274,525,147,112,219,147,63
6609,1,26,25,17,23,15
6963,675,11,400,15,45,11
4440,509,0,27,0,0,10
1379,154,2,46,20,4,15
10032,3,5,14,2,12,17
2826,25,0,8,2,0,2
2437,861,138,461,60,30,61
6320,768,44,561,77,44,14
3050,185,0,28,3,2,17
231,24,0,7,0,0,1
2392,44,4,21,6,0,27
9478,91,64,128,65,3,50
113,11,0,7,3,1,6
2863,738,20,172,52,50,20
1802,412,5,119,38,29,77
520,3,3,7,6,2,9
8275,16,0,3,0,0,1
9750,731,60,353,78,12,73
2607,424,17,118,7,23,41
7214,792,0,275,45,45,126
5835,21,2,28,3,2,9
3896,22,1,11,0,1,2
10350,33,0,5,0,0,0
7786,68,7,59,10,5,11
2861,9,1,6,3,0,4
663,40,2,15,8,0,6
10675,909,11,218,0,0,23
2521,23,1,13,2,2,18
9592,11,2,9,3,0,8
10151,317,46,247,151,46,139
7381,797,153,293,72,97,30
4099,10,2,16,11,2,21
9560,856,61,570,40,25,122
1150,755,144,562,104,64,224
10172,456,19,832,75,118,38
11191,37,32,38,11,3,18
9707,1103,0,45,0,0,34
6245,378,14,68,19,14,14
8234,1,6,7,0,1,3
1411,204,34,204,172,153,173
8553,30,0,9,0,0,3
1826,189,104,379,111,189,218
8842,15,0,12,7,3,7
11030,9,0,3,0,0,4
2579,495,33,255,11,33,8
175,656,80,455,52,107,93
9185,452,20,514,13,30,0
11056,546,91,410,119,0,22
9365,1048,0,217,0,0,12
6201,22,2,14,0,1,10
2061,78,0,11,0,0,10
6184,561,64,785,84,128,48
6142,629,17,177,69,0,8
4107,269,15,69,15,19,38
7274,736,163,818,212,163,61
9336,512,0,83,0,0,41
2958,19,3,10,11,8,6
933,9,0,6,4,1,5
5837,247,8,160,6,8,65
10704,404,0,92,28,27,142
5125,333,0,815,129,42,29
4432,2,3,20,6,11,9
5955,833,33,549,151,133,233
2928,789,0,142,12,9,38
5680,10,4,7,0,6,3
10313,159,4,45,6,2,38
2557,7,1,6,3,1,11
1245,977,12,253,16,12,101
1519,38,4,22,3,3,3
10703,57,0,27,0,0,36
1726,3,9,15,13,2,39
4459,10,4,14,4,4,1
1729,1043,24,97,32,24,157
1517,3,9,13,2,12,12
2098,11,0,5,0,0,1
9543,3,6,5,0,2,6
6878,43,12,96,78,40,55
3310,73,3,90,12,1,32
2724,12,0,1,0,0,6
948,4,7,7,6,4,13
6720,314,11,53,4,3,107
6202,571,50,142,33,50,159
2066,70,0,11,2,8,23
9799,866,21,151,28,21,86
8318,594,134,786,33,134,57
5642,140,4,61,0,13,4
2669,375,152,335,93,91,81
455,102,9,63,2,9,24
7683,554,35,113,0,7,78
3428,919,0,505,99,30,45
7414,96,1,42,12,3,32
6354,5,2,16,3,2,19
798,2,0,6,8,6,5
8213,6,4,9,6,36,35
2488,23,1,25,0,8,7
9999,610,105,125,137,42,21
7617,67,5,61,3,8,19
615,65,36,74,38,20,110
2552,416,0,26,0,0,4
194,23,0,11,3,2,2
3645,19,3,26,10,9,3
8890,155,7,80,13,7,10
5049,14,0,24,3,3,2
9973,370,9,92,6,9,4
7301,4,22,11,3,7,32
10882,407,53,221,58,150,26
7030,1200,0,204,38,29,14
7422,85,44,54,102,78,6
3523,583,34,309,0,22,125
7106,483,0,591,156,0,12
6504,2,5,9,28,6,28
5067,966,26,282,52,26,26
4216,822,114,108,179,137,114
8581,604,0,100,19,0,28
5929,19,3,19,3,1,3
3129,5,3,11,12,5,9
6528,2,2,2,2,1,1
1361,1076,68,103,29,91,68
6932,1285,42,716,55,0,21
7284,10,0,7,2,0,1
1340,551,137,792,179,103,33
8746,800,0,297,0,34,57
5987,2,2,11,10,6,12
3767,378,0,189,97,172,172
3725,1248,16,349,43,16,16
4324,235,0,235,19,4,191
238,515,47,181,149,95,95
6694,438,66,400,12,38,114
498,25,0,22,2,3,5
9347,31,0,7,2,0,6
9699,357,35,271,28,28,14
10664,400,4,35,6,0,22
5455,99,0,15,2,1,5
456,1,11,5,4,6,9
5012,5,4,13,8,0,4
7495,77,28,31,16,0,4
5029,3,1,2,4,3,1
10642,10,4,14,4,4,1
2106,0,6,3,7,6,12
10364,0,0,1,2,12,5
5954,76,14,74,13,5,10
1137,398,190,537,61,156,37
2541,14,7,11,11,0,5
1142,208,7,82,30,66,35
2276,430,16,322,43,24,33
2807,656,38,161,62,47,37
6471,14,2,30,8,2,3
6131,141,70,106,72,19,23
6233,507,19,364,25,47,9
4148,164,24,103,12,3,42
4947,606,24,974,197,194,64
3225,116,11,72,3,17,46
7540,143,15,60,24,23,5
10648,398,96,447,220,96,32
1992,522,0,257,32,16,66
7851,161,0,253,199,191,122
8594,112,0,6,2,1,14
7059,483,84,398,205,84,241
2815,7,5,39,17,15,37
2416,789,25,420,16,38,0
7999,1239,17,413,23,34,17
9213,4,1,5,2,0,3
9697,335,42,127,28,5,5
3916,639,8,166,11,8,58
2021,563,76,384,84,192,89
1581,2,0,8,2,2,3
564,746,8,125,11,8,8
6619,22,1,13,4,0,4
9081,4,1,6,4,1,9
178,478,0,193,110,75,117
916,20,3,4,2,0,2
5512,451,0,39,0,4,24
8970,371,22,39,6,0,92
10581,281,7,84,15,0,119
5300,19,7,19,0,1,24
5154,26,3,13,2,10,0
8346,138,15,35,25,11,72
1676,213,2,44,0,2,5
9286,407,28,100,120,74,18
2426,483,74,114,169,37,18
5172,738,0,232,13,20,50
5562,502,12,109,16,6,90
3436,11,0,5,2,1,1
3921,24,1,108,29,29,14
3403,1170,19,594,99,76,134
22,185,2,88,15,5,14
10965,983,20,389,240,50,40
9426,691,0,69,10,0,130
6605,504,13,131,8,0,26
3136,317,25,265,25,19,12
8737,29,1,9,2,0,2
11088,1396,0,322,46,35,17
716,529,0,356,63,28,0
466,388,14,218,91,14,21
9135,13,2,21,4,0,24
10623,28,0,4,0,0,0
8151,16,36,21,20,62,108
5140,1047,0,140,67,38,153
10160,31,0,7,2,0,6
4945,815,10,239,28,10,108
10584,225,162,387,106,36,29
6071,493,70,324,146,40,84
3386,34,4,66,3,10,20
8939,382,138,65,60,26,59
9925,127,1,56,0,1,31
4320,325,83,300,86,58,91
5389,238,17,68,8,10,6
6036,1168,92,408,72,129,55
182,284,0,55,0,6,52
203,1288,20,613,80,61,27
11025,65,0,46,4,3,20
10203,11,7,9,3,1,11
4607,227,23,389,42,21,75
3711,1035,134,670,25,38,0
3696,27,1,12,2,0,10
2532,982,73,351,56,14,175
9214,179,2,64,38,17,58
4943,1379,33,216,0,33,66
35,32,1,64,16,12,85
2258,8,4,15,7,6,2
4322,881,38,319,16,25,12
713,141,15,153,67,31,35
4702,1000,155,379,224,17,120
3281,206,10,67,30,27,71
702,162,61,83,97,57,61
2004,619,54,260,127,54,54
4769,456,4,24,0,0,9
4437,112,6,92,3,9,38
8724,11,3,22,2,2,6
10741,172,12,112,8,0,15
1991,78,0,11,0,0,7
6931,464,151,292,65,60,30
11096,99,4,32,37,54,6
304,19,3,19,4,5,26
3665,1,9,8,11,3,22
10591,63,10,83,7,19,19
5036,252,3,42,4,3,102
5547,1478,19,403,0,19,0
7822,198,18,252,32,108,54
8541,8,4,10,6,7,6
10955,416,46,925,60,107,46
4368,42,7,43,20,12,10
9671,14,3,21,2,1,28
2256,17,0,3,0,0,1
4279,15,4,10,3,4,18
5371,6,16,24,11,0,34
9240,458,0,24,6,4,34
9460,30,3,47,19,21,42
9504,179,28,520,111,123,47
8692,90,17,97,15,6,15
448,308,85,137,102,45,118
8314,557,129,761,29,185,111
8420,7,4,13,15,8,17
3174,1492,38,287,50,57,33
7685,30,8,12,8,8,12
3179,249,153,940,58,134,38
9780,465,25,132,136,0,37
10681,129,129,259,168,121,83
10232,174,18,81,28,6,24
4184,189,2,29,3,2,40
9120,747,10,161,65,40,42
891,6,0,2,2,0,1
10381,14,0,3,0,0,4
3525,12,0,4,0,0,1
6818,98,0,106,49,10,106
3526,32,0,5,0,0,1
8181,51,12,49,17,24,24
1029,200,5,44,0,10,20
7369,25,6,25,6,0,0
2574,1050,12,144,0,0,24
8159,117,0,22,13,0,30
1160,9,4,17,10,2,7
10242,56,0,11,0,0,8
5253,145,13,46,17,2,4
5966,203,0,10,0,0,2
5314,270,3,27,39,6,99
5081,9,0,16,6,6,10
5123,37,12,23,8,11,52
5756,46,0,7,0,0,2
8036,31,1,13,7,2,9
9058,1060,21,530,32,0,224
5057,264,47,188,54,47,11
254,399,4,30,6,4,30
4179,8,9,9,2,5,22
3710,19,0,35,6,4,17
7627,817,183,797,106,163,20
4501,292,127,635,132,127,165
6424,12,6,2,11,2,16
3075,130,30,168,20,34,0
4992,6,4,16,3,10,30
5252,16,12,18,7,1,13
7444,19,0,9,0,0,2
6919,4,7,15,13,9,15
3537,31,3,31,2,8,4
10277,36,0,2,0,0,4
2453,526,28,135,10,21,99
7972,400,32,519,71,75,54
895,410,16,114,0,5,49
1177,80,3,26,4,2,14
7141,88,10,46,2,3,64
7232,55,0,6,2,0,4
8477,5,1,13,3,5,1
2457,8,4,5,15,2,11
988,410,0,592,147,22,22
7930,101,13,76,20,18,40
4587,162,25,53,16,0,10
6682,2,8,1,4,7,15
6222,25,0,8,2,0,2
10299,389,91,248,64,49,41
3083,215,13,87,17,17,24
8953,27,0,5,0,0,3
1503,85,1,16,2,1,2
8650,5,6,10,6,5,10
10862,179,8,83,19,11,26
2782,352,0,27,10,0,15
6941,17,8,12,11,15,32
10972,625,35,169,58,17,35
10708,10,6,11,0,4,2
6583,390,22,323,104,35,107
3641,10,2,15,2,1,6
10156,215,63,507,231,31,190
4299,1001,17,572,93,125,17
3469,19,18,33,24,1,8
5063,41,5,129,10,3,3
10727,1181,107,199,39,30,30
9624,603,45,207,36,18,54
5156,129,129,259,168,121,83
4376,10,24,15,13,1,30
8923,514,22,732,42,198,79
8461,14,0,1,0,0,1
6945,387,20,713,38,54,163
944,121,103,69,8,44,48
1907,965,69,279,54,41,69
701,707,21,250,85,43,73
3856,571,50,142,33,50,159
4149,586,66,653,17,0,26
2131,1063,89,102,16,12,25
2942,305,3,27,4,3,144
1173,1200,105,758,0,42,147
4381,163,2,40,8,11,11
4611,1009,181,104,202,21,207
3376,125,6,73,8,4,19
4679,721,0,152,119,50,50
10928,315,4,62,41,31,146
4248,1000,19,711,125,115,38
6728,16,0,17,6,3,6
6661,757,80,217,29,80,11
4725,30,2,25,0,1,9
3277,219,3,100,26,0,17
5555,1,1,1,1,1,1
2564,111,3,28,2,6,15
946,45,47,52,21,20,25
3867,410,112,420,0,82,71
6940,100,1,39,6,1,76
55,509,0,65,7,11,5
7093,3,6,5,0,2,6
5084,445,53,213,104,98,151
1777,2,2,11,41,7,11
8162,4,1,11,6,2,2
10826,6,1,7,23,4,19
8754,14,0,3,0,0,3
1987,1,10,11,19,3,15
11007,26,0,6,0,0,2
7426,111,16,37,7,9,18
9153,418,61,428,80,51,10
10379,327,9,122,19,14,83
9204,371,159,194,58,106,141
3197,275,59,107,69,101,59
2920,789,0,142,12,9,38
6961,1,1,5,0,3,1
4673,1004,12,145,32,12,36
9937,187,81,149,25,43,91
8779,56,4,76,17,1,18
9596,365,32,117,34,110,6
2891,595,23,123,10,23,154
4910,1132,134,384,175,134,115
75,34,11,137,179,61,45
10120,116,6,82,6,6,41
6327,565,32,435,28,32,54
10142,372,18,126,47,48,78
9826,899,102,838,133,102,40
1501,55,16,1622,17,3,4
10767,760,40,480,0,40,26
7279,260,86,559,63,9,67
7230,459,0,24,6,0,4
143,466,0,224,119,49,99
450,67,15,80,17,11,80
9316,2,0,7,3,7,10
6379,67,1,20,0,2,31
9239,92,4,18,3,3,6
8315,4,2,11,2,0,4
2868,20,1,28,3,3,2
10888,273,11,178,62,83,29
1277,434,22,388,104,22,34
9977,321,11,309,33,26,34
10196,212,123,177,15,64,23
6384,909,12,278,0,12,242
8029,1184,32,352,21,16,16
968,112,19,21,16,14,5
6988,656,80,455,52,107,93
4472,23,0,8,6,2,18
6991,537,6,42,16,6,30
3336,712,0,45,0,0,191
4301,23,1,13,2,2,18
1940,1,3,4,2,2,6
1272,664,58,83,32,0,66
1388,6,10,21,19,14,42
1044,299,5,201,21,21,49
6969,99,13,66,43,8,4
10479,749,40,294,121,160,147
3619,345,25,501,63,138,80
1715,9,4,18,7,5,5
10159,440,81,368,0,122,174
1463,8,2,5,3,0,3
5114,670,9,249,0,28,9
4990,524,0,134,28,28,155
4329,6,0,6,2,1,1
10936,597,166,597,172,166,249
4692,7,0,12,13,7,32
7212,54,0,7,0,0,4
6086,445,25,706,80,76,48
437,294,142,218,164,58,151
11171,292,3,77,10,3,26
11101,412,22,132,59,28,183
5329,8,0,3,0,0,0
610,349,4,78,6,0,43
9384,328,9,124,12,24,109
5956,144,2,99,7,2,30
10430,1126,28,211,37,28,42
7875,967,0,617,43,50,0
7072,432,79,341,177,136,170
6255,138,39,63,55,18,21
6516,0,0,1,7,4,6
5564,509,133,497,78,24,97
5682,948,10,86,13,21,21
7458,39,2,25,4,3,24
5237,28,1,21,3,0,10
7761,13,11,24,13,8,40
5278,307,26,360,138,31,40
3560,901,31,345,75,31,191
7235,2,5,12,4,8,7
10548,283,17,372,138,106,44
2281,4,3,7,0,3,11
4073,769,80,252,15,34,65
6974,518,42,742,55,56,84
7938,350,8,66,17,4,4
7094,445,53,213,104,98,151
3667,778,178,689,41,27,44
7723,709,93,374,104,80,80
3870,359,35,314,93,116,89
4012,799,12,375,16,12,12
5909,895,10,101,13,0,152
10470,40,2,23,0,4,23
6488,76,0,7,0,0,16
10270,11,5,22,12,5,11
6887,245,16,223,21,43,16
6406,647,107,391,175,67,40
7573,39,1,9,2,1,34
4508,203,35,305,46,17,227
221,138,3,38,4,0,59
5331,587,51,898,247,0,86
1911,595,97,291,127,133,121
20,43,12,23,29,15,61
8786,301,7,74,10,0,58
10582,180,32,348,76,32,90
1915,794,115,243,150,0,205
8897,392,5,91,28,26,112
2371,39,1,22,3,4,12
4303,107,2,12,2,2,12
6825,13,0,3,0,0,0
1072,70,0,17,0,0,6
4964,680,11,392,75,0,0
2461,26,1,11,0,1,4
10736,522,0,522,227,120,134
3194,412,12,546,78,182,0
10839,6,5,5,8,0,5
49,2,3,6,4,1,9
4290,1,3,8,2,5,5
10219,6,2,15,6,6,3
4211,4,12,5,3,16,17
1135,18,2,19,0,2,6
6299,324,48,186,39,18,198
10846,327,9,125,25,4,139
347,229,27,71,13,3,34
6543,521,168,706,80,76,61
10446,184,23,446,30,23,23
3479,4,8,11,12,2,13
11075,183,2,64,7,2,12
4442,31,19,35,26,14,52
199,219,3,60,12,9,12
6722,479,28,136,75,14,35
796,584,44,212,46,8,177
3749,627,91,597,159,91,15
8523,24,1,16,12,2,5
310,330,5,159,36,27,16
8629,19,1,10,2,1,8
236,28,23,29,29,14,47
9930,606,148,228,15,148,22
3483,1039,43,204,153,58,29
4599,411,0,26,0,0,21
7326,34,1,19,2,7,0
7352,161,28,136,32,3,45
2350,623,53,178,23,17,133
9145,604,26,470,123,161,94
2964,3,10,8,3,16,32
5585,12,2,17,6,1,10
9687,184,174,256,50,30,32
3732,393,0,239,90,69,69
6303,410,73,747,76,161,30
11176,376,9,83,19,4,4
2986,7,2,4,2,1,4
7462,68,0,226,51,157,68
3900,642,14,49,0,7,57
7034,8,7,9,13,6,12
9493,840,53,804,23,71,17
1143,7,10,13,3,11,11
1,464,5,64,7,0,37
3855,30,3,47,19,21,42
5536,1492,38,287,50,57,33
5989,752,122,476,39,153,34
9499,1279,15,287,20,0,15
6768,22,1,8,2,1,2
2150,860,28,409,73,56,56
6646,3,0,5,13,0,1
4887,10,5,28,11,1,8
8560,351,16,156,7,5,145
3321,421,5,90,0,16,10
11003,2,5,7,0,18,18
10402,25,1,9,2,1,1
9904,336,123,274,46,123,141
6141,191,9,97,0,6,82
5687,563,50,774,28,31,187
10856,31,0,6,0,1,8
5121,479,5,82,7,17,171
4186,18,6,15,12,8,17
368,91,65,52,10,44,28
3312,5,7,24,19,14,20
11121,2,14,28,16,3,7
5332,362,50,431,134,35,54
5848,724,74,929,97,55,130
10343,605,91,399,0,45,205
5935,547,7,140,0,7,63
2895,104,1,54,13,9,14
10262,8,2,15,0,10,18
7848,224,2,25,7,0,110
9477,384,0,102,21,32,5
4856,556,54,845,202,133,63
7186,24,0,2,0,0,9
5794,408,0,21,0,0,17
1456,265,199,303,234,9,170
4877,34,0,7,0,0,0
425,374,64,116,84,25,64
3007,27,2,10,0,0,1
1031,600,20,350,29,30,33
4297,13,2,18,6,1,0
807,167,2,89,0,0,34
9553,0,2,3,4,1,5
4271,46,35,69,84,41,66
4120,88,39,78,58,13,93
2036,243,11,119,10,3,15
115,275,11,68,25,7,7
4259,6,0,4,0,0,0
8687,121,62,90,68,20,125
2447,4,12,15,19,7,12
10140,1308,0,396,23,0,0
9353,515,47,267,62,66,38
3623,4,0,16,17,4,4
738,48,13,57,24,15,25
7631,562,58,168,43,16,142
4789,769,22,500,210,143,33
773,379,4,93,12,9,98
10602,29,12,59,19,1,36
1446,387,68,569,89,45,68
3270,12,23,38,30,18,7
8443,6,10,12,3,15,40
9653,27,1,14,4,1,21
8916,9,1,5,0,0,1
8017,22,0,19,6,5,3
5830,899,102,838,133,102,40
4597,889,55,685,168,92,129
7023,189,2,55,0,5,12
8086,48,0,2,0,0,5
8825,230,14,156,82,24,58
2930,852,60,207,78,36,48
1928,35,3,20,4,1,20
7108,205,20,47,23,2,56
10925,255,31,446,40,56,175
9960,0,0,1,8,3,2
8800,437,8,206,160,49,42
9224,825,8,53,11,0,242
5519,316,58,161,76,51,135
5046,756,138,354,160,169,61
7037,194,55,134,15,0,3
905,7,17,18,6,10,26
8624,183,33,493,59,103,57
8945,171,0,11,0,1,20
6445,243,101,405,29,40,40
2727,181,21,69,39,3,96
6404,151,7,89,0,7,28
11074,494,92,391,194,11,241
10150,464,28,873,29,18,37
1968,5,1,5,10,0,7
6534,29,0,29,0,5,4
9485,102,9,49,24,3,12
7053,604,28,674,91,28,28
4654,571,12,523,63,60,24
9760,953,0,71,0,0,174
1048,63,3,67,8,9,28
10619,770,29,890,250,27,24
9308,398,61,265,138,61,53
10505,741,19,154,50,9,28
8362,1478,19,403,0,19,0
2625,156,29,56,30,32,47
4637,960,64,464,146,0,16
9972,38,0,2,0,0,6
4483,315,26,473,220,12,182
4487,15,20,25,2,7,26
4988,19,6,20,0,5,12
8931,812,99,431,237,149,33
5871,73,28,217,10,24,115
2008,372,23,384,250,12,108
3139,871,111,704,145,55,166
10037,375,152,335,93,91,81
